Year,"Sr No",Date,Title,Subject,Judgemental_Status,"Link URL","Judgemental Summary"
2017,1,24-08-2017,"JUSTICE K.S.PUTTASWAMY(RETD) vs UNION OF INDIAW.P.(C) No. 494/2012","Recognition of the right to privacy as part of the right to life and personal liberty under Article 21 and other rights guaranteed by Part III of the Constitution","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=350712012&type=j&order_date=2017-08-24&from=latest_judgements_order,[]
2017,2,09-05-2017,"IN RE vs HONBLE MR JUSTICE C.S. KARNANSMC(C) No. 1/2017","Contempt proceedings against Justice C.S. Karnan.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=44082017&type=j&order_date=2017-05-09&from=latest_judgements_order,[]
2018,1,27-09-2018,"JOSEPH SHINE vs UNION OF INDIAW.P.(Crl.) No. 194/2017","Section 497 IPC (Adultery) struck down as unconstitutional","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=325502017&type=j&order_date=2018-09-27&from=latest_judgements_order,[]
2018,2,26-09-2018,"JARNAIL SINGH  vs LACHHMI NARAIN GUPTA .C.A. No. 629/2022","Constitutionality of requiring quantifiable data to determine backwardness of Scheduled Castes (SCs) and Scheduled Tribes (STs) and applicability of 'creamy layer' doctrine to SCs and STs.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=346142011&type=j&order_date=2018-09-26&from=latest_judgements_order,[]
2018,3,26-09-2018,"SWAPNIL TRIPATHI vs SUPREME COURT OF INDIAW.P.(C) No. 1232/2017","Plea seeking live streaming of court proceedings and the Supreme Court's guidelines.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=404262017&type=j&order_date=2018-09-26&from=latest_judgements_order,[]
2018,4,25-09-2018,"PUBLIC INTEREST FOUNDATION  vs UNION OF INDIA W.P.(C) No. 536/2011","Can there be any additional grounds for disqualification from the membership of Parliament/State Legislature other than Article 102 and Representation of Peoples Act 1951","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=366742011&type=j&order_date=2018-09-25&from=latest_judgements_order,[]
2018,5,17-07-2018,"TEHSEEN S. POONAWALLA vs UNION OF INDIAW.P.(C) No. 754/2016","Plea against lynching and mob violence by vigilante groups and the Supreme Court's guidelines to curb such unlawful activities.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=272632016&type=j&order_date=2018-07-17&from=latest_judgements_order,[]
2018,6,04-07-2018,"GOVT. OF NCT OF DELHI vs UNION OF INDIAC.A. No. 2357/2017","Determination of the constitutional status of NCT Delhi","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=293572016&type=j&order_date=2018-07-04&from=latest_judgements_order,[]
2018,7,13-03-2018,"BAR COUNCIL OF INDIA vs A.K. BALAJI .C.A. No. 7875-7879/2015","The Supreme Court clarified the scope of legal practice under the Advocates Act, 1961, addressing the roles of foreign lawyers and firms in India, including their ability to provide legal services, ad","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=138902012&type=j&order_date=2018-03-13&from=latest_judgements_order,[]
2019,1,10-12-2019,"RAJENDRA DIWAN vs PRADEEP KUMAR RANIBALA C.A. No. 3613/2016","Constitutional challenge to the power of a state legislature to create a statutory appeal to the Supreme Court.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=36982016&type=j&order_date=2019-12-10&from=latest_judgements_order,[]
