Level1,Level2,Path,Type,Name,URL
MEDICAL,SUPERSPECIALITY,/DM/2013_SEPTEMBER/Cardiology,PDF,"paper i  basic sciences.pdf","http://www2.kuhs.ac.in/kuhs_new/images/uploads/pdf/questionpapers/MEDICAL/SUPERSPECIALITY/DM/2013_SEPTEMBER/Cardiology/paper i  basic sciences.pdf"
MEDICAL,SUPERSPECIALITY,/DM/2013_SEPTEMBER/Cardiology,PDF,"paper ii  clinical cardiology.pdf","http://www2.kuhs.ac.in/kuhs_new/images/uploads/pdf/questionpapers/MEDICAL/SUPERSPECIALITY/DM/2013_SEPTEMBER/Cardiology/paper ii  clinical cardiology.pdf"
MEDICAL,SUPERSPECIALITY,/DM/2013_SEPTEMBER/Cardiology,PDF,"paper iii  cardiac investigations and therapeutics.pdf","http://www2.kuhs.ac.in/kuhs_new/images/uploads/pdf/questionpapers/MEDICAL/SUPERSPECIALITY/DM/2013_SEPTEMBER/Cardiology/paper iii  cardiac investigations and therapeutics.pdf"
MEDICAL,SUPERSPECIALITY,/DM/2013_SEPTEMBER/Cardiology,PDF,"paper iv  recent advances in cardiology.pdf","http://www2.kuhs.ac.in/kuhs_new/images/uploads/pdf/questionpapers/MEDICAL/SUPERSPECIALITY/DM/2013_SEPTEMBER/Cardiology/paper iv  recent advances in cardiology.pdf"
MEDICAL,SUPERSPECIALITY,/DM/2013_SEPTEMBER/Gastroenterology,PDF,"paper i  basic sciences.pdf","http://www2.kuhs.ac.in/kuhs_new/images/uploads/pdf/questionpapers/MEDICAL/SUPERSPECIALITY/DM/2013_SEPTEMBER/Gastroenterology/paper i  basic sciences.pdf"
MEDICAL,SUPERSPECIALITY,/DM/2013_SEPTEMBER/Gastroenterology,PDF,"paper ii  principles and practice of gastroenterology.pdf","http://www2.kuhs.ac.in/kuhs_new/images/uploads/pdf/questionpapers/MEDICAL/SUPERSPECIALITY/DM/2013_SEPTEMBER/Gastroenterology/paper ii  principles and practice of gastroenterology.pdf"
MEDICAL,SUPERSPECIALITY,/DM/2013_SEPTEMBER/Gastroenterology,PDF,"paper iii  principles and practice of gastroenterology.pdf","http://www2.kuhs.ac.in/kuhs_new/images/uploads/pdf/questionpapers/MEDICAL/SUPERSPECIALITY/DM/2013_SEPTEMBER/Gastroenterology/paper iii  principles and practice of gastroenterology.pdf"
MEDICAL,SUPERSPECIALITY,/DM/2013_SEPTEMBER/Gastroenterology,PDF,"paper iv  recent advances in gastroenterology.pdf","http://www2.kuhs.ac.in/kuhs_new/images/uploads/pdf/questionpapers/MEDICAL/SUPERSPECIALITY/DM/2013_SEPTEMBER/Gastroenterology/paper iv  recent advances in gastroenterology.pdf"
MEDICAL,SUPERSPECIALITY,/DM/2013_SEPTEMBER/Nephrology,PDF,"paper i  basic sciences.pdf","http://www2.kuhs.ac.in/kuhs_new/images/uploads/pdf/questionpapers/MEDICAL/SUPERSPECIALITY/DM/2013_SEPTEMBER/Nephrology/paper i  basic sciences.pdf"
MEDICAL,SUPERSPECIALITY,/DM/2013_SEPTEMBER/Nephrology,PDF,"paper ii  clinical nephrology.pdf","http://www2.kuhs.ac.in/kuhs_new/images/uploads/pdf/questionpapers/MEDICAL/SUPERSPECIALITY/DM/2013_SEPTEMBER/Nephrology/paper ii  clinical nephrology.pdf"
MEDICAL,SUPERSPECIALITY,/DM/2013_SEPTEMBER/Nephrology,PDF,"paper iii  clinical nephrology.pdf","http://www2.kuhs.ac.in/kuhs_new/images/uploads/pdf/questionpapers/MEDICAL/SUPERSPECIALITY/DM/2013_SEPTEMBER/Nephrology/paper iii  clinical nephrology.pdf"
MEDICAL,SUPERSPECIALITY,/DM/2013_SEPTEMBER/Nephrology,PDF,"paper iv  recent advances in nephrology.pdf","http://www2.kuhs.ac.in/kuhs_new/images/uploads/pdf/questionpapers/MEDICAL/SUPERSPECIALITY/DM/2013_SEPTEMBER/Nephrology/paper iv  recent advances in nephrology.pdf"
MEDICAL,SUPERSPECIALITY,/DM/2013_SEPTEMBER/Neurology,PDF,"paper i  basic sciences.pdf","http://www2.kuhs.ac.in/kuhs_new/images/uploads/pdf/questionpapers/MEDICAL/SUPERSPECIALITY/DM/2013_SEPTEMBER/Neurology/paper i  basic sciences.pdf"
MEDICAL,SUPERSPECIALITY,/DM/2013_SEPTEMBER/Neurology,PDF,"paper ii  clinical neurology.pdf","http://www2.kuhs.ac.in/kuhs_new/images/uploads/pdf/questionpapers/MEDICAL/SUPERSPECIALITY/DM/2013_SEPTEMBER/Neurology/paper ii  clinical neurology.pdf"
