course_type,serial_number,title,url
Diploma,1.,"Diploma in Anesthesia",https://www.nmc.org.in/wp-content/uploads/2019/09/Diploma-Anesthesia.pdf
Diploma,2.,"Diploma in Clinical Pathology",https://www.nmc.org.in/wp-content/uploads/2019/09/DIPLOMA-CLINICAL-PATHOLOGY.pdf
Diploma,3.,"Diploma in DVL",https://www.nmc.org.in/wp-content/uploads/2019/09/Diploma-Dermatology.pdf
Diploma,4.,"Diploma in ENT",https://www.nmc.org.in/wp-content/uploads/2019/09/Diploma-ENT.pdf
Diploma,5.,"Diploma in Health Education",https://www.nmc.org.in/wp-content/uploads/2019/09/Diploma-Health-Education.pdf
Diploma,6.,"Diploma in Immunohaematology",https://www.nmc.org.in/wp-content/uploads/2019/09/Diploma-Immunohaematology.pdf
Diploma,7.,"Diploma in Obstetrics & Gynaecology",https://www.nmc.org.in/wp-content/uploads/2019/09/Diploma-OBGY.pdf
Diploma,8.,"Diploma in Occupational Health",https://www.nmc.org.in/wp-content/uploads/2022/06/Diploma-Occup-Health-done-02-1-18.pdf
Diploma,9.,"Diploma in Ophthalmology",https://www.nmc.org.in/wp-content/uploads/2019/09/Diploma-Ophthamology.pdf
Diploma,10.,"Diploma in Orthopaedics",https://www.nmc.org.in/wp-content/uploads/2019/09/Diploma-Orthopaedics-1.pdf
Diploma,11.,"Diploma in Paediatrics",https://www.nmc.org.in/wp-content/uploads/2019/09/Diploma-Paediatrics.pdf
Diploma,12.,"Diploma in Psychiatry",https://www.nmc.org.in/wp-content/uploads/2019/09/Diploma-Psychiatry.pdf
Diploma,12a.,"Diploma in Psychiatry (revised)",https://www.nmc.org.in/wp-content/uploads/2022/revised/Diploma-in-Psychiatry-(revised).pdf
Diploma,13.,"Diploma in Physical Medicine & Rehabilitation",https://www.nmc.org.in/wp-content/uploads/2019/09/Dploma-PMR.pdf
Diploma,13a.,"Diploma in Physical Medicine & Rehabilitation (revised)",https://www.nmc.org.in/wp-content/uploads/2022/revised/Diploma_in_Physical_Medicine_and_rehabilitation_(revised).pdf
Diploma,14.,"Diploma in Pulmonary medicine",https://www.nmc.org.in/wp-content/uploads/2019/09/Diploma-Pulmonary-Medicine-1.pdf
Diploma,15.,"Diploma in Radio-diagnosis",https://www.nmc.org.in/wp-content/uploads/2019/09/DIPLOMA-RADIO-DIAGNOSIS.pdf
Diploma,16.,"Diploma in Radiation Medicine",https://www.nmc.org.in/wp-content/uploads/2019/09/Diploma-Radiation-Medicine.pdf
Diploma,17.,"Diploma in Sports Medicine",https://www.nmc.org.in/wp-content/uploads/2019/09/Diploma-SPORTSMEDICINE.pdf
Diploma,18.,"Diploma in Tropical medicine",https://www.nmc.org.in/wp-content/uploads/2019/09/Diploma-Tropical-Medicine.pdf
Diploma,19.,"Diploma in Allergy & Clinical Immunology",https://www.nmc.org.in/wp-content/uploads/2019/09/Dipoma-in-Allergy-Clinical-Immunology.pdf
MD,1.,"MD in Aerospace Medicine",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Aerospace-medicine.pdf
MD,2.,"MD in Anatomy",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Anatomy.pdf
MD,2a.,"MD Human Anatomy (revised)","https://www.nmc.org.in/wp-content/uploads/2022/revised/MD_Human_Anatomy_( revised ).pdf"
MD,3.,"MD in Anesthesia",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Anesthesia.pdf
MD,4.,"MD in Biochemistry",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Biochemistry.pdf
MD,4a.,"MD in Biochemistry (revised)",https://www.nmc.org.in/wp-content/uploads/2022/12/MD-Biochemistry-revised-Guidelines.pdf
MD,5.,"MD in Community medicine",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Community-Medicine.pdf
MD,6.,"MD in Dermatology, Venereology & Leprosy",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Dermatology.pdf
MD,7.,"MD in Family Medicine",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Family-Medicine.pdf
MD,8.,"MD in Forensic Medicine",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Forensic-Medicine.pdf
MD,9.,MD-General-Medicine,https://www.nmc.org.in/wp-content/uploads/2021/06/MD-General-Medicine.pdf
MD,9a.,"MD in General Medicine (revised)",https://www.nmc.org.in/wp-content/uploads/2022/revised/MD-in-General-Medicine-(revised).pdf
MD,10.,"MD in Geriatrics",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Geriatrics.pdf
MD,10a.,"MD in Geriatrics (revised)",https://www.nmc.org.in/wp-content/uploads/2022/11/MD_in_Geriatrics-Medicine.pdf
MD,11.,"MD in Health Administration",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-HealthAdm.pdf
MD,12.,"MD in Hospital Administration",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Hosp-admn.pdf
MD,13.,"MD in Immunohaematology",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Immunohaematology.pdf
MD,13a.,"MD in Immunohaematology ( revised )",https://www.nmc.org.in/wp-content/uploads/2022/revised/MD_in_Immunohematology_(revised).pdf
MD,14.,"MD in Microbiology",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Microbiology.pdf
MD,14a,"MD Microbiology (revised)",https://www.nmc.org.in/wp-content/uploads/2022/11/MD-Microbiology-revisedGuidelines.pdf
MD,15.,"MD in Nuclear medicine",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Nuclear-Medicine.pdf
MD,15a.,"MD in Nuclear medicine ( revised )","https://www.nmc.org.in/wp-content/uploads/2022/revised/MD_Nuclear_medicine _( revised ).pdf"
MD,16.,"MD in Paediatrics",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Pediatrics.pdf
MD,16a.,"MD Peadiatrics (revised)","https://www.nmc.org.in/wp-content/uploads/2022/revised/MD_Peadiatrics_( revised ).pdf"
MD,17.,"MD in Pathology",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Pathology.pdf
MD,17a.,"MD in Pathology (revised)",https://www.nmc.org.in/wp-content/uploads/2022/revised/MD_Pathology_(revised).pdf
MD,18.,"MD in Pharmacology",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Pharmacology.pdf
MD,18a.,"MD in Pharmacology (revised)",https://www.nmc.org.in/wp-content/uploads/2022/revised/MD-in-Pharmacology-(revised).pdf
MD,19.,"MD in Psychiatry",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Psychiatry.pdf
MD,19a.,"MD Psychiatry (revised)","https://www.nmc.org.in/wp-content/uploads/2022/revised/MD_Psychiatry_( revised ).pdf"
MD,20.,"MD in Physical Medicine & Rehabilitation",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-PMR.pdf
MD,20a.,"MD in Physical Medicine & Rehabilitation (revised)",https://www.nmc.org.in/wp-content/uploads/2022/revised/MD_in_Physical_Medicine_and_Rehabilitation_(revised).pdf
MD,21.,"MD in Physiology",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Physiology-1.pdf
MD,21a.,"MD Physiology (revised)","https://www.nmc.org.in/wp-content/uploads/2022/revised/MD_Physiology_( revised ).pdf"
MD,22.,"MD in Pulmonary medicine",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Pulmonary-Medicine.pdf
MD,23.,"MD in Radiodiagnosis",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Radiodiagnosis.pdf
MD,24.,"MD in Radiotherapy",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Radiotherapy.pdf
MD,25.,"MD in Sports Medicine",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-sports-medicine.pdf
MD,26.,"MD in Tropical Medicine",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Tropical-Medicine.pdf
MD,27.,"MD in Family Medicine",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Family-Medicine-1.pdf
MD,28.,"MD in Palliative Medicine",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Palliative_Medicine.pdf
MD,29.,"MD in Marine Medicine",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Marine_Medicine.pdf
MD,30.,"MD in Laboratory Medicine",https://www.nmc.org.in/wp-content/uploads/2021/08/final_Guidelines_MD_Laboratory_Medicine.pdf
MD,31.,"MD in Emergency Medicine","https://www.nmc.org.in/wp-content/uploads/2024/10/NMC MD EM CURRICULUM-V6 with logo revised-1.pdf"
MS,1.,"MS in ENT",https://www.nmc.org.in/wp-content/uploads/2019/09/MS-ENT.pdf
MS,2.,"MS in General Surgery",https://www.nmc.org.in/wp-content/uploads/2019/09/MS-Surgery.pdf
MS,3.,"MS in Obstetrics & Gynaecology",https://www.nmc.org.in/wp-content/uploads/2019/09/MS-OBGY.pdf
MS,4.,"MS in Ophthalmology",https://www.nmc.org.in/wp-content/uploads/2019/09/MS-Ophthamology.pdf
MS,5.,"MS in Orthopaedics ",https://www.nmc.org.in/wp-content/uploads/2019/09/MS-Orthopedics.pdf
MS,5a.,"MS in Orthopaedics ( revised )","https://www.nmc.org.in/wp-content/uploads/2022/revised/MS_Orthopedics_( revised ).pdf"
MS,6.,"MS in Traumatology & Surgery",https://www.nmc.org.in/wp-content/uploads/2019/09/MS-Traumatology-surgery.pdf
