Category,Subject,"PDF Name","PDF Link"
"PG supplementry exam January - 2026",pg_jan_2026.pdf,pg_jan_2026.pdf,https://gmcsurat.edu.in/lib/exe/fetch.php?media=pg_jan_2026.pdf
"P .G. University Examination September - 2025",pg_september_25.pdf,pg_september_25.pdf,https://gmcsurat.edu.in/lib/exe/fetch.php?media=pg_september_25.pdf
"P .G. University Examination April - 2025",pg_april_2025.pdf,pg_april_2025.pdf,https://gmcsurat.edu.in/lib/exe/fetch.php?media=pg_april_2025.pdf
"P.G. University Examination April - 2022",Anaesthesia,anesthesia_april-22.pdf,https://gmcsurat.edu.in/lib/exe/fetch.php?media=anesthesia_april-22.pdf
"P.G. University Examination April - 2022",Bio-Chemistry,biochemistry_md_april-22.pdf,https://gmcsurat.edu.in/lib/exe/fetch.php?media=biochemistry_md_april-22.pdf
"P.G. University Examination April - 2022",D.C.P.,dcp_april-22.pdf,https://gmcsurat.edu.in/lib/exe/fetch.php?media=dcp_april-22.pdf
"P.G. University Examination April - 2022","Emergency Medicine",emergency_medicine_april-22.pdf,https://gmcsurat.edu.in/lib/exe/fetch.php?media=emergency_medicine_april-22.pdf
"P.G. University Examination April - 2022",ENT,ent_april-22.pdf,https://gmcsurat.edu.in/lib/exe/fetch.php?media=ent_april-22.pdf
"P.G. University Examination April - 2022",IHBT,ihbt_april-22.pdf,https://gmcsurat.edu.in/lib/exe/fetch.php?media=ihbt_april-22.pdf
"P.G. University Examination April - 2022",Medicine,medicine_april-22.pdf,https://gmcsurat.edu.in/lib/exe/fetch.php?media=medicine_april-22.pdf
"P.G. University Examination April - 2022",Microbiology,microbiology_april-22.pdf,https://gmcsurat.edu.in/lib/exe/fetch.php?media=microbiology_april-22.pdf
"P.G. University Examination April - 2022","Obst. & Gynec.",og_april-22.pdf,https://gmcsurat.edu.in/lib/exe/fetch.php?media=og_april-22.pdf
"P.G. University Examination April - 2022",Ophthalmology,ophthalmology_april-22.pdf,https://gmcsurat.edu.in/lib/exe/fetch.php?media=ophthalmology_april-22.pdf
"P.G. University Examination April - 2022",Orthopaedics,orthopedic_april-22.pdf,https://gmcsurat.edu.in/lib/exe/fetch.php?media=orthopedic_april-22.pdf
"P.G. University Examination April - 2022",Pathology,patho_april-22.pdf,https://gmcsurat.edu.in/lib/exe/fetch.php?media=patho_april-22.pdf
"P.G. University Examination April - 2022",Paediatrics,pediatric_april-22.pdf,https://gmcsurat.edu.in/lib/exe/fetch.php?media=pediatric_april-22.pdf
"P.G. University Examination April - 2022",Pharmacology,pharmacology_april-22.pdf,https://gmcsurat.edu.in/lib/exe/fetch.php?media=pharmacology_april-22.pdf
"P.G. University Examination April - 2022",PSM,psm_april-22.pdf,https://gmcsurat.edu.in/lib/exe/fetch.php?media=psm_april-22.pdf
"P.G. University Examination April - 2022",Psychiatry,psychiatry_april-22.pdf,https://gmcsurat.edu.in/lib/exe/fetch.php?media=psychiatry_april-22.pdf
"P.G. University Examination April - 2022",Radiology,radio_april-22.pdf,https://gmcsurat.edu.in/lib/exe/fetch.php?media=radio_april-22.pdf
"P.G. University Examination April - 2022","Respiratory Medicine",tb_april-22.pdf,https://gmcsurat.edu.in/lib/exe/fetch.php?media=tb_april-22.pdf
"P.G. University Examination April - 2022","Skin & V. D.",skin_april-22.pdf,https://gmcsurat.edu.in/lib/exe/fetch.php?media=skin_april-22.pdf
"P.G. University Examination April - 2022",Surgery,surgery_april-22.pdf,https://gmcsurat.edu.in/lib/exe/fetch.php?media=surgery_april-22.pdf
"P.G. University Examination June-July - 2021",Anaesthesia,anaesthesiology_202107081325.pdf,https://gmcsurat.edu.in/lib/exe/fetch.php?media=anaesthesiology_202107081325.pdf
